fname,date,group_number,lat_max,lat_mean,lat_min,long_max,long_mean,long_min,area,nspots,ncores,nspots_with_cores,tilt,complexity,B0,L0
201707120320_53,2017-07-12 03:20:00,53,-3.620619461281591,-5.813144896173234,-8.279768017375657,117.13248393517406,113.21412922964943,105.72989350548828,685.9044926853804,19,12,6,4.3803343081927375,284,4.0,107.4
201707130407_55,2017-07-13 04:07:00,55,14.440949749588802,13.122389009722983,12.010209625534392,104.12995226582343,100.31423395281023,97.99545657655152,51.69877927746399,6,2,1,6.678308456173433,97,4.1,93.7
201707130407_53,2017-07-13 04:07:00,53,-2.6455402080482524,-5.688794386097883,-8.519642521278719,117.55222033641891,113.91956280784935,106.39343806923452,723.0723038873834,14,6,4,2.668629617819424,274,4.1,93.7
201707140451_55,2017-07-14 04:51:00,55,14.501015681916382,13.13587894508738,11.66439493340806,104.03614044393707,99.99671580272188,97.52057712308589,26.90244219741861,6,2,2,12.412460063676749,144,4.2,80.1
201707140451_53,2017-07-14 04:51:00,53,-3.846373435397154,-5.749976699981084,-8.465474947333401,117.96148446719494,115.21552157847813,108.86132764867284,591.2377713895926,10,4,3,-7.278149102478924,194,4.2,80.1
201707150323_55,2017-07-15 03:23:00,55,13.285155256525734,13.212941267561352,13.146424551171709,102.25410900022949,102.1104246105784,101.9605410983292,1.9282444311869884,1,0,0,-7.4314079711725105,19,4.3,67.7
201707150323_53,2017-07-15 03:23:00,53,-2.982622471503816,-5.530667164295855,-8.58035105493179,118.23771633992916,115.64959075236312,107.97552094055504,739.3681604576886,9,5,3,-19.20800915586103,259,4.3,67.7
201707170321_55,2017-07-17 03:21:00,55,15.405768667726312,15.293025582847214,15.175075116729046,99.80180216291023,99.52899125390164,99.26983406494035,5.8031727675341775,1,0,0,-8.3176492441064,19,4.5,41.2
201707300450_57,2017-07-30 04:50:00,57,17.825466445439133,17.64507891278168,17.500281918117757,254.70402203756083,254.5909972957525,254.45926762728527,3.2288957651170014,1,0,0,-21.07272661995055,18,5.6,228.4
201707300450_56,2017-07-30 04:50:00,56,15.167062946153493,14.862023080945802,14.562844616889775,260.6661828494987,259.3715226442895,258.2484252061713,6.578643430806296,2,0,0,6.720528951452974,36,5.6,228.4
201708030453_58,2017-08-03 04:53:00,58,-3.2097229427763736,-5.754520997716862,-7.2027507426665895,121.49551860415151,117.62984750529304,115.98271047971252,239.84636435925245,2,2,2,-36.9407098956286,110,5.9,175.5
201708040452_58,2017-08-04 04:52:00,58,-3.0709613899953183,-6.105617831050651,-7.5656775999947214,121.95891799155643,117.77011508712124,116.21171442904956,232.5109427550239,2,2,2,-31.70363092547419,132,6.0,162.3
201708050326_58,2017-08-05 03:26:00,58,-3.0820361779358483,-6.4296337270308745,-7.792492314618485,122.14471363338984,117.78481998632849,116.36547886550234,227.60635856650268,2,2,2,-28.415278400746175,149,6.1,149.8
201708060344_58,2017-08-06 03:44:00,58,-2.7054347269669967,-6.384754283172753,-7.5991304210115,122.07198427020849,117.79613403630422,116.65362074496213,192.49240745819583,2,1,1,-19.004259322556727,184,6.1,136.4
201708070328_58,2017-08-07 03:28:00,58,-5.374998461490262,-6.580064528829915,-7.775835958111759,118.9467373596655,117.80003532874224,116.62927604837023,198.74219876949107,1,1,1,2.747283269435242,109,6.2,123.4
201708080344_58,2017-08-08 03:44:00,58,-5.350269987784611,-6.6074210852492365,-7.894480384978981,119.02780864687307,117.81503332431969,116.72950380679985,213.00107288279625,1,1,1,8.303940980716956,100,6.3,110.0
201708090449_58,2017-08-09 04:49:00,58,-5.147219611114501,-6.484992884914732,-7.814816462911824,119.00400878612629,117.77105955140115,116.65529662397014,225.61890488223256,1,1,1,-2.182249191388297,85,6.3,96.2
201708100348_58,2017-08-10 03:48:00,58,-5.144262380319974,-6.5172308512014725,-10.009839436561384,119.13997577784187,117.79074826140676,116.6448603264171,225.2013394811668,2,1,1,-5.2880753640797975,186,6.4,83.5
201708110507_58,2017-08-11 05:07:00,58,-4.969447589669636,-6.277398756043607,-7.577296270439008,118.79028201320848,117.71359159146142,116.688216228695,203.1320483095039,1,1,1,-22.03806962965809,99,6.4,69.6
201708160454_59,2017-08-16 04:54:00,59,11.964435032499376,10.27967490267525,8.589821625936565,309.8739878086379,303.14083474687624,295.51701876841685,428.88943889457255,14,14,9,8.348336539720936,169,6.7,3.6
201708170350_59,2017-08-17 03:50:00,59,12.758867494892225,10.879265237171106,8.61445065213311,312.08709607399595,302.2147004768313,295.0986498494555,465.0304132551322,18,15,8,10.12548291201117,222,6.7,351.0
201708220350_60,2017-08-22 03:50:00,60,9.899829854962938,6.4205602280305145,3.732334256677,230.78172458543892,225.50400706908687,220.07322361906967,524.3994482340302,8,7,4,47.18236359173971,284,6.9,284.9
201708230345_61,2017-08-23 03:45:00,61,9.597574192142812,9.322355268228279,9.101262958665082,277.4838353555457,277.305597269489,277.16146223843015,6.49765666059404,1,0,0,11.555441700192848,71,7.0,271.7
201708230345_60,2017-08-23 03:45:00,60,10.22829149680592,6.4446310554759965,3.690158947993795,231.686094323397,226.1437696746872,220.49509604169705,612.5240969194467,7,7,5,37.76585021425433,284,7.0,271.7
201708260925_60,2017-08-26 09:25:00,60,10.140228015815932,6.722820003783919,4.652542636105203,232.6199832000026,228.194736471923,220.72998123834225,209.038225948186,5,5,3,20.08665643886009,284,7.1,229.0
201708270430_60,2017-08-27 04:30:00,60,11.421089286447675,6.928170440874156,3.9495262624142162,232.70172136486957,228.1713123837307,221.9267666312515,194.29984896714748,9,5,3,20.44100195897069,284,7.1,218.4
201708280441_60,2017-08-28 04:41:00,60,9.748649904940736,6.263838126889284,3.701728444585917,232.85832589807487,230.10567817062318,222.6073850551228,135.68928445908278,5,4,3,16.915721982445405,284,7.1,205.1
201708290434_60,2017-08-29 04:34:00,60,6.370394012795779,5.590011166949768,4.851108487406977,233.1364128934724,232.2834501874393,231.3393081663796,104.63084208313605,1,1,1,-2.0282981318863382,75,7.1,192.0
201708301044_62,2017-08-30 10:44:00,62,-7.629856623852833,-8.481144357610575,-9.386505900590066,119.08955913434427,117.97088252730478,116.972921158881,128.47460647386552,1,1,1,17.89019845400287,47,7.2,175.4
201708301044_60,2017-08-30 10:44:00,60,9.33616473648792,6.703256419884026,5.3002307662183945,233.7967534479327,230.61362281656784,223.84527963676263,108.63855685359552,5,1,1,22.13277160797382,185,7.2,175.4
201708310458_62,2017-08-31 04:58:00,62,-7.7666917975346195,-8.742467591596164,-9.663534046634664,119.1357847712846,118.11929229721771,117.15199976850771,125.00482002106148,1,1,1,7.736532136205852,78,7.2,165.4
201708310458_64,2017-08-31 04:58:00,64,-6.362896874359938,-6.902408733351464,-7.559223134418888,178.74590238274433,177.67452905320346,176.3331484608031,16.796109409832376,4,0,0,17.874382893756714,72,7.2,165.4
201709020425_62,2017-09-02 04:25:00,62,-7.993341863070997,-8.894307667214392,-9.848916096767462,119.23170957650869,118.42169783612856,117.51880493048216,109.9598551307175,1,1,1,3.53982440964888,82,7.2,139.2
201709020425_65,2017-09-02 04:25:00,65,8.022533670675486,7.815909668426371,7.597287601893437,186.39108049753125,186.0462508497453,185.7599683980449,8.414423909527372,1,0,0,-36.8892467010593,50,7.2,139.2
201709020425_63,2017-09-02 04:25:00,63,18.055304009073808,13.095760034321534,8.655986730087468,110.3083798029178,103.09162452003643,94.58967195537686,1074.9827744691725,8,12,5,35.85919590545802,284,7.2,139.2
201709020425_64,2017-09-02 04:25:00,64,-5.960548636393565,-6.6509989295266045,-7.472720517482481,181.7735661331393,178.37221928015597,175.9485428963425,50.81651564185295,2,3,2,4.575569379387988,60,7.2,139.2
201709030425_64,2017-09-03 04:25:00,64,-4.7625585942745365,-5.6802976546872745,-7.478741011688088,182.9077936851827,178.07642733636055,176.3212212502317,48.81351982436622,6,2,1,17.154960371006386,83,7.2,126.0
201709030425_66,2017-09-03 04:25:00,66,-9.172515627206597,-10.382158214177274,-11.199040442108512,167.62891554722438,165.2774707894242,162.89840635512275,64.3993607042285,6,3,3,-0.568246762980974,90,7.2,126.0
